	restaurante	seccion	platos	precios	platos_lower	seccion_lower
14	Tepic	Tacos Típicos	Tacos de solomillo	21 €	tacos de solomillo	tacos típicos
15	Tepic	Tacos Típicos	Tacos de cochinita pibil	17,5 €	tacos de cochinita pibil	tacos típicos
16	Tepic	Tacos con Queso	Tacos Gobernador	19,9 €	tacos gobernador	tacos con queso
17	Tepic	Tacos con Queso	Tacos de chicharrón con queso	22 €	tacos de chicharrón con queso	tacos con queso
18	Tepic	Tacos con Queso	Alambre con queso	19 €	alambre con queso	tacos con queso
19	Tepic	Tacos para los que no comen carne	Champiñones Tepic	15,5 €	champiñones tepic	tacos para los que no comen carne
20	Tepic	Tacos para los que no comen carne	Nopales	15,9 €	nopales	tacos para los que no comen carne
21	Tepic	Sopas	Consomé de pollo	16,5 €	consomé de pollo	sopas
22	Tepic	Sopas	Sopa de tortilla	9,5 €	sopa de tortilla	sopas
23	Tepic	Para seguir comiendo...	Enchiladas rojas o verdes	15,5 €	enchiladas rojas o verdes	para seguir comiendo...
24	Tepic	Para seguir comiendo...	Enmoladas	16,5 €	enmoladas	para seguir comiendo...
25	Tepic	Postre	Pastel de tres leches	6,9 €	pastel de tres leches	postre
26	Tepic	Postre	Crepas de cajeta	6,9 €	crepas de cajeta	postre
27	Tepic	Postre	Buñuelos mexicanos con un baño de cajeta y helado de vainilla de papantla	6,9 €	buñuelos mexicanos con un baño de cajeta y helado de vainilla de papantla	postre
28	Tepic	Postre	Crepas de chocolate oaxaqueño	6,9 €	crepas de chocolate oaxaqueño	postre
29	Tepic	Postre	Pastel de elote con salsa de café de olla	6,9 €	pastel de elote con salsa de café de olla	postre
30	Tepic	Postre	Helados artesanales	6,9 €	helados artesanales	postre
31	Tepic	seccion_bebidas	Botella de champán	23 €	botella de champán	seccion_bebidas
32	Tepic	seccion_bebidas	Café	2,5 €	café	seccion_bebidas
33	Tepic	seccion_bebidas	Botella de agua	5 €	botella de agua	seccion_bebidas
34	Tepic	seccion_bebidas	Media botella de agua	2,5 €	media botella de agua	seccion_bebidas
35	Tepic	seccion_bebidas	Botella de vino	20 €	botella de vino	seccion_bebidas
36	Tepic	seccion_bebidas	Copa de vino	3,9 €	copa de vino	seccion_bebidas
0	TE CATO	Ensalada	Ensalada de burrata		ensalada de burrata	ensalada
1	TE CATO	Ensalada	Ensalada parque		ensalada parque	ensalada
2	TE CATO	Platos chicos	Papas Fritas		papas fritas	platos chicos
3	TE CATO	Platos chicos	Nuggtes de Pollo		nuggtes de pollo	platos chicos
4	TE CATO	Platos chicos	Nuggtes de Coliflor		nuggtes de coliflor	platos chicos
5	TE CATO	Platos chicos	Montaditos		montaditos	platos chicos
6	TE CATO	Platos chicos	Tacos de Lomo		tacos de lomo	platos chicos
7	TE CATO	Platos chicos	Buñuelos		buñuelos	platos chicos
8	TE CATO	Platos chicos	Fish and Chips		fish and chips	platos chicos
9	TE CATO	Platos grandes	Pesca del día poche		pesca del día poche	platos grandes
10	TE CATO	Platos grandes	Bondiola braseada		bondiola braseada	platos grandes
11	TE CATO	Platos grandes	Ensalada Parque		ensalada parque	platos grandes
12	TE CATO	Platos grandes	Salmón		salmón	platos grandes
13	TE CATO	Platos grandes	Hamburguesa clásica		hamburguesa clásica	platos grandes
14	TE CATO	Platos grandes	Hamburguesa Parque		hamburguesa parque	platos grandes
15	TE CATO	Bowls	Curry bowl		curry bowl	bowls
16	TE CATO	Bowls	Pork bowl		pork bowl	bowls
17	TE CATO	Entre panes	Hamburguesa parque		hamburguesa parque	entre panes
18	TE CATO	Entre panes	Hamburguesa clásica		hamburguesa clásica	entre panes
19	TE CATO	Entre panes	Hamburguesa humita		hamburguesa humita	entre panes
20	TE CATO	Entre panes	Hamburguesa veggie		hamburguesa veggie	entre panes
21	TE CATO	Entre panes	Wrap parque		wrap parque	entre panes
22	TE CATO	Postres	Cheesecake de oreo		cheesecake de oreo	postres
23	TE CATO	Postres	Tibio de manzana		tibio de manzana	postres
24	TE CATO	Postres	Torta tres leches		torta tres leches	postres
25	TE CATO	Postres	Mousse		mousse	postres
0	tuk tuk	Entrante	Tempura de langostinos servido con salsa de mango picante, cilantro y ensalada de fresas	11 €	tempura de langostinos servido con salsa de mango picante, cilantro y ensalada de fresas	entrante
1	tuk tuk	Entrante	Pollo y cebolleta dim sum, servido con condimento tailandés picante al gusto de mango	9 €	pollo y cebolleta dim sum, servido con condimento tailandés picante al gusto de mango	entrante
2	tuk tuk	Entrante	Pastel de pescado tailandés de salmón, gamba y lenguado con salsa de curry verde en una cama de champiñones salteados pak choy	12 €	pastel de pescado tailandés de salmón, gamba y lenguado con salsa de curry verde en una cama de champiñones salteados pak choy	entrante
3	tuk tuk	Plato	Pechuga de pato a la parrilla servido con verduras orientales, salsa de pomelo con ensalada asiática	18 €	pechuga de pato a la parrilla servido con verduras orientales, salsa de pomelo con ensalada asiática	plato
4	tuk tuk	Plato	Ternera al curry con verduras, anacardos, arroz de jazmín y espinacas frescas	18 €	ternera al curry con verduras, anacardos, arroz de jazmín y espinacas frescas	plato
5	tuk tuk	Plato	Teriyaki de salmón servido con arroz de jazmín, salsa de mango y albaricoque, espinacas salteadas y verduras	18 €	teriyaki de salmón servido con arroz de jazmín, salsa de mango y albaricoque, espinacas salteadas y verduras	plato
6	tuk tuk	Postre	Plátano asado, envuelto en azúcar de caña, frutas de la pasión y sorbete de mango	6,5 €	plátano asado, envuelto en azúcar de caña, frutas de la pasión y sorbete de mango	postre
7	tuk tuk	Postre	Fruta de temporada servida con sorbete de menta	6,5 €	fruta de temporada servida con sorbete de menta	postre
8	tuk tuk	Postre	Carpaccio de piña aderezado con menta y sorbete de lima	6,5 €	carpaccio de piña aderezado con menta y sorbete de lima	postre
9	tuk tuk	seccion_bebidas	Botella de champán	6 €	botella de champán	seccion_bebidas
10	tuk tuk	seccion_bebidas	Café	2 €	café	seccion_bebidas
11	tuk tuk	seccion_bebidas	Media botella de agua	2,5 €	media botella de agua	seccion_bebidas
12	tuk tuk	seccion_bebidas	Botella de vino	14 €	botella de vino	seccion_bebidas
13	tuk tuk	seccion_bebidas	Copa de vino	3,5 €	copa de vino	seccion_bebidas
0	Vides	Entrante	Ajo campero con puntillitas		ajo campero con puntillitas	entrante
1	Vides	Plato	Solomillo de Cerdo sobre Crema de Boniato con Pasas de Pedro Ximénez		solomillo de cerdo sobre crema de boniato con pasas de pedro ximénez	plato
2	Vides	Postre	Tarta de chocolate		tarta de chocolate	postre
